"user_id","manipulation","age_raw","age_group","body_type","edu_level","height_in_raw","ethnicity","black","asian","natam","mideast","white","latin","indian","other","pacisl","match_rcvd_cnt_3_2","match_sent_cnt_3_2","match_rcvd_cnt_2_2","match_sent_cnt_2_2","match_rcvd_cnt_1_2","match_sent_cnt_1_2","hotvote_rcvd_bool_2","voteviewmsg_rcvd_cnt_2","voteview_sent_cnt_2","msg_rcvd_cnt_2","msg_sent_cnt_2","view_rcvd_cnt_2","view_sent_cnt_2","match_sent_cnt_2","match_rcvd_cnt_2","match_rcvd_cnt_3_1","match_sent_cnt_3_1","match_rcvd_cnt_2_1","match_sent_cnt_2_1","match_rcvd_cnt_1_1","match_sent_cnt_1_1","view_sent_cnt_1","view_rcvd_cnt_1","msg_sent_cnt_1","msg_rcvd_cnt_1","match_sent_cnt_1","match_rcvd_cnt_1","atrct_other_msg","atrct_other_msg_min","atrct_other_msg_max","atrct_own_msg","match_rcvd_cnt_3_4","match_rcvd_cnt_3_3","match_sent_cnt_3_4","match_sent_cnt_3_3","match_rcvd_cnt_2_4","match_rcvd_cnt_2_3","match_sent_cnt_2_4","match_sent_cnt_2_3","match_rcvd_cnt_1_4","match_rcvd_cnt_1_3","match_sent_cnt_1_4","match_sent_cnt_1_3","match_sent_cnt_3","match_rcvd_cnt_3","atrct_own_msg_tert","atrct_other_msg_tert"
"860e860b9d91dee92978bee1193507a8",1,23.6741957563313,"18 to 24 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,TRUE,0,7,21,0,112,7,0,0,0,0,0,0,0,0,7,115,1,14,0,0,1.83189655172414,0,76,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mid","low"
"4efcfeb6cc7535dbfdec85adb7c43f6e",1,28.5913757700205,"25 to 29 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,0,0,TRUE,1,1,28,1,88,1,0,2,2,0,0,0,3,0,6,158,4,45,0,3,2.09154929577465,0,105,45,0,0,0,0,1,1,0,0,0,0,0,0,4,6,"mid","low"
"7807914f03ea2d6de9e38c5dc36051dc",1,24.9253935660507,"18 to 24 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,TRUE,1,8,26,1,89,8,1,0,0,0,0,1,2,7,57,93,34,32,7,2,2.71389645776567,0,152,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mid","mid"
"a128f2e1917894272969b901956ae747",0,21.3388090349076,"18 to 24 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,TRUE,0,0,1,0,6,0,0,0,0,0,0,0,0,0,5,22,0,4,0,0,5.11764705882353,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low","high"
"dafbeb04b4a321990c6d51d9f4708609",1,28.7583846680356,"25 to 29 ages","unknown","University",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,3,1,5,0,TRUE,27,127,91,29,429,127,3,13,3,0,2,0,13,7,207,757,47,210,8,23,2.26946376486426,0,548,210,3,8,2,1,6,2,1,1,0,5,0,1,3,20,"high","low"
"a20c52bdf26cc4ddd43e298bcca537b4",1,28.8432580424367,"25 to 29 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,TRUE,0,5,16,0,79,5,0,0,0,0,0,0,0,0,21,225,2,44,0,0,2.67250437828371,0,65,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mid","low"
"4b220e54278bcdd021393b952d04cb47",1,20.0876112251882,"18 to 24 ages","FullFigured","University",61.417356,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,TRUE,3,20,28,1,68,20,0,0,0,0,0,0,0,0,2,39,0,12,0,0,2.78688524590164,0,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low","mid"
"2ea45f54595294470f3aece494058dca",1,41.7577002053388,"40 to 49 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,TRUE,0,9,7,0,23,9,0,0,0,0,0,0,0,0,16,43,0,15,0,0,3.20515574650913,0,548,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mid","mid"
"689ed2686539003291721e7249bc71d0",1,28.7583846680356,"25 to 29 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,8,1,TRUE,1,10,18,0,142,10,0,0,1,0,0,0,8,0,150,635,30,119,2,17,3.4255737704918,0,548,119,1,0,1,0,0,0,0,0,0,1,1,0,4,2,"high","mid"
"7f0f97728b96354e96efbbf5bdab5eef",0,40.5913757700205,"40 to 49 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,TRUE,0,0,3,0,12,0,0,0,0,0,0,0,10,1,8,137,16,35,1,10,7.79310344827586,0,112,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mid","high"
